building_id,geo_level_1_id,geo_level_2_id,geo_level_3_id,count_floors_pre_eq,age,area,height,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,legal_ownership_status,count_families,has_secondary_use,has_secondary_use_agriculture,has_secondary_use_hotel,has_secondary_use_rental,has_secondary_use_institution,has_secondary_use_school,has_secondary_use_industry,has_secondary_use_health_post,has_secondary_use_gov_office,has_secondary_use_use_police,has_secondary_use_other,damage_grade
765,8,501,3237,2,25,33,4,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,2
9470,7,288,1819,3,15,28,5,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,0,0,0,0,0,0,0,0,0,0,0,0,3
14461,14,36,838,1,20,37,2,d502,337f,7.00E+76,467b,441a,bfba,8e3f,0,1,0,0,1,0,0,0,0,0,0,c8e1,1,1,0,1,0,0,0,0,0,0,0,0,2
9317,8,81,805,2,5,18,3,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,2
15941,23,380,4266,3,0,39,6,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,3
4767,2,22,5,1,10,24,1,d502,337f,e0e2,b1b4,441a,3356,a779,0,1,0,0,0,0,1,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,2
5117,13,531,2699,2,5,24,4,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,2
4081,2,50,412,2,5,20,4,808e,6c3e,e0e2,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,3
11259,2,100,640,2,10,29,3,d502,337f,e0e2,b1b4,f962,bfba,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,2
5628,12,27,126,3,40,50,5,d502,337f,7.00E+76,b1b4,f962,3356,a779,0,1,0,0,0,0,0,0,0,0,0,c8e1,1,0,0,0,0,0,0,0,0,0,0,0,3
